Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexFile_loadClass,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_debug,Logcat_error,Logcat_warning,Logcat_total,Process_total,Category,Family
83313,22072,10768,54316,80820,22960,31703,24593,7109,7,1,4,1,4,31,34,9,36,3,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,140,70,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,1,1858272,1744,72631,1319,3,0,1525,5038,2434,908,2005,11910,191,FileInfector,tachi
119527,26296,11452,85252,79764,27656,35639,27378,8260,7,1,4,1,4,24,34,10,39,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,0,0,396,198,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,1,3794088,4527,309653,3265,3,0,2979,1739,1543,2356,1419,10036,190,FileInfector,tachi
100950,42888,10752,44236,95680,44560,26861,23232,3628,31,2,5,1,4,41,34,9,36,3,0,1,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,228,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,480,0,0,49,0,12,0,0,0,0,3,0,6316,3866,994,1511,2057,14744,188,FileInfector,tachi
49911,6376,12552,34672,94800,6388,17807,13783,4023,26,1,6,2,2,10,27,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,4,4,0,0,0,4,0,0,0,0,2,0,0,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,4,0,1359,2216,676,2583,1433,8267,186,FileInfector,gudex
53259,1076,10856,46484,83380,1088,26825,21373,5451,662,28,17,13,2,76,39,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,3,0,514,3563,2638,1865,1701,10281,191,FileInfector,commplat
48267,4808,10940,34512,91540,5860,17302,13982,3319,46,2,5,1,2,11,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,0,3,0,3005,4840,1161,9801,1832,20639,189,FileInfector,commplat
93143,39516,12052,40760,99976,41104,24558,21609,2948,31,2,5,1,4,33,36,9,38,4,0,1,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,169,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,180,0,0,28,0,9,100310,160,20694,211,3,0,1508,5143,1062,3081,2206,13000,188,FileInfector,tachi
48862,3588,11052,34728,95312,4380,17298,14041,3256,46,2,5,1,2,10,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,3,0,924,7756,1689,3349,2376,16094,190,FileInfector,commplat
51386,3424,11292,36344,91148,4348,21480,18304,3175,68,3,5,1,2,13,28,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,3,0,3716,3999,909,1790,2406,12820,189,FileInfector,commplat
91863,38080,10728,39060,107724,39768,26558,22025,4532,31,1,5,1,4,30,35,9,36,3,0,1,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,220,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,240,0,0,37,0,12,0,0,0,0,3,0,1778,5147,2302,727,1503,11457,190,FileInfector,tachi
52908,5440,10772,39592,89524,5448,30215,17015,13199,48,4,7,4,2,13,32,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,20,0,0,24,16,1,0,0,8,16,0,8,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,5,0,2966,791,1501,2029,2953,10240,186,FileInfector,leech
48319,3632,11044,34748,87844,4548,17296,14059,3236,46,2,5,1,2,10,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,0,3,0,1747,3605,865,12018,2539,20774,189,FileInfector,commplat
41470,4440,11188,31228,78220,4448,17275,12211,5064,46,2,5,1,2,10,26,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,19,0,0,0,0,3,0,8154,981,1697,2683,3464,16979,186,FileInfector,commplat
52450,4820,10956,36572,90120,5556,17548,14609,2938,92,4,6,2,2,14,29,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,3,0,6450,2201,1639,2536,700,13526,191,FileInfector,commplat
46494,4368,10980,33564,91640,5284,16263,13964,2298,46,2,5,1,2,10,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,46,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,15,0,0,0,0,3,0,4694,7893,1139,1803,2556,18085,192,FileInfector,commplat
49169,4524,11024,34828,86376,4900,17298,14110,3187,46,2,5,1,2,10,27,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,2589,1587,978,2734,1941,9829,188,FileInfector,commplat
51888,1020,10952,44708,85132,1032,33740,25566,8173,882,40,8,4,2,83,33,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,2282,2246,465,1555,1635,8183,192,FileInfector,commplat
95439,40668,10732,39756,96620,42388,26571,22062,4508,31,2,5,1,4,37,34,9,39,3,0,1,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,266,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,280,0,0,43,0,14,0,0,0,0,3,0,1193,2055,6856,2960,1515,14579,188,FileInfector,tachi
49676,3368,11252,36356,94136,4448,21480,18425,3054,68,3,5,1,2,10,28,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,0,0,3,0,3684,6951,2515,1713,803,15666,188,FileInfector,commplat
71316,20324,10744,43548,77772,21540,26779,22418,4360,31,2,5,1,4,29,35,9,38,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,1,0,0,0,0,3,0,1316,1819,651,1506,2506,7798,190,FileInfector,tachi
49074,4800,10992,34504,82896,5844,17296,13954,3341,46,2,5,1,2,9,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,0,0,3,0,3414,1761,917,2958,9386,18436,188,FileInfector,commplat
108455,38944,10800,54288,107940,40500,29367,24129,5237,31,1,4,1,4,39,36,9,38,3,0,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,42,0,0,0,0,168,84,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,0,0,7,0,2,0,0,0,0,3,0,5779,1516,1870,2624,1106,12895,190,FileInfector,tachi
50382,4648,11040,34732,94140,5512,17313,14180,3132,46,2,5,1,2,10,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0,0,0,0,3,0,2671,1669,6387,690,2250,13667,187,FileInfector,commplat
50623,4632,11080,34748,94584,5444,17314,14162,3151,46,2,5,1,2,10,26,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,3,0,2287,7023,2716,745,1671,14442,189,FileInfector,commplat
109495,42312,10712,52940,97216,44060,29339,22148,7190,31,2,4,1,4,34,35,10,40,3,0,1,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,103,0,0,0,0,752,376,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,200,0,0,21,0,5,1148359,1396,149907,1220,3,0,1095,2604,1706,2952,1519,9876,192,FileInfector,tachi
178637,25920,10800,145328,74908,27164,41641,31514,10126,7,1,4,1,4,30,34,9,36,3,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,1332,666,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,1,3247708,3275,273390,2724,3,0,1509,2718,963,1841,1740,8771,187,FileInfector,tachi
58777,1228,10948,51564,85152,1240,33118,25873,7244,1086,49,13,9,2,96,36,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,3,0,1609,2722,2504,814,3006,10655,192,FileInfector,commplat
95560,40764,10760,42648,104544,42416,26835,21731,5103,31,2,5,1,4,37,34,9,38,3,0,1,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,93,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,200,0,0,21,0,5,0,0,0,0,3,0,1517,2648,2601,3212,1032,11010,187,FileInfector,tachi
95258,39008,10732,42852,98764,40668,26915,21847,5067,55,3,5,1,4,34,34,9,36,3,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,80,0,0,9,0,2,120,3,2520,42,3,0,1528,2366,1113,2307,2546,9860,195,FileInfector,<unknown>
172689,16808,10908,149108,56936,17876,43769,32940,10828,7,1,4,1,4,31,35,9,36,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,0,0,0,0,1368,684,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,5,0,1,3094014,2903,173458,2238,2,0,2157,2177,1634,1523,1041,8532,191,FileInfector,tachi
92337,25664,11700,57544,82788,26724,32076,24938,7137,9,2,5,1,4,31,37,9,36,3,0,1,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,21,0,0,0,0,104,52,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,40,0,0,5,0,1,3681673,3124,137582,2074,4,1,1951,1619,2479,11184,1486,18719,186,FileInfector,tachi
47088,10352,12140,27220,85416,10364,13180,10832,2347,14,1,5,1,2,12,28,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,1866,1433,2577,572,1517,7965,189,FileInfector,gudex
91598,40248,10772,39284,104936,41996,26595,21496,5098,31,2,5,1,4,40,35,8,32,3,0,1,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,171,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,180,0,0,28,0,9,0,0,0,0,3,0,1518,6016,2476,803,1777,12590,191,FileInfector,tachi
