round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.399228,0.273384,0.640329,0.291045,0.000000,0.061538,0.356436,0.227409,0.496815,0.210254,0.000000,0.276074,0.656489,0.064220,0.474251,0.245283,0.000000,0.800000,0.461538,0.607029,0.541667,0.180284,0.000000,0.251397,0.611374,0.700000,0.985409,0.357798,0.000000,0.032000,0.290323,0.139912,0.458824,0.252174,0.000000,0.306122,0.708791,0.033654
2,warmup,0.778938,0.513356,0.966370,0.378788,0.000000,0.557143,0.719323,0.835294,0.621762,0.793939,0.000000,0.334601,0.747525,0.205534,0.982897,0.322581,0.000000,0.503226,0.639098,0.834068,0.555556,0.775148,0.000000,0.379310,0.680180,0.577778,0.950389,0.458716,0.000000,0.624000,0.822581,0.836524,0.705882,0.813665,0.000000,0.299320,0.829670,0.125000
3,warmup,0.820472,0.560310,0.979035,0.379032,0.000000,0.575342,0.779970,0.886765,0.670455,0.857687,0.000000,0.349442,0.774194,0.471795,0.981427,0.338129,0.000000,0.502994,0.736390,0.885463,0.648352,0.877763,0.000000,0.385246,0.757895,0.505495,0.976654,0.431193,0.000000,0.672000,0.829032,0.888071,0.694118,0.838509,0.000000,0.319728,0.791209,0.442308
4,warmup,0.838402,0.589261,0.978661,0.392453,0.055556,0.596721,0.789969,0.908817,0.674157,0.881720,0.000000,0.372624,0.788360,0.632099,0.975822,0.333333,0.083333,0.505556,0.768293,0.930556,0.645161,0.898196,0.000000,0.422414,0.760204,0.649746,0.981518,0.477064,0.041667,0.728000,0.812903,0.888071,0.705882,0.865839,0.000000,0.333333,0.818681,0.615385
5,warmup,0.847481,0.610223,0.980145,0.437500,0.040816,0.622047,0.807571,0.911798,0.677778,0.900524,0.066667,0.437736,0.788732,0.651357,0.975892,0.380952,0.040000,0.612403,0.790123,0.921746,0.642105,0.951591,0.057143,0.491525,0.809249,0.575646,0.984436,0.513761,0.041667,0.632000,0.825806,0.902062,0.717647,0.854658,0.080000,0.394558,0.769231,0.750000
6,warmup,0.850658,0.612982,0.983034,0.442623,0.000000,0.644351,0.808446,0.910345,0.693642,0.915601,0.057971,0.483271,0.783099,0.633397,0.979710,0.400000,0.000000,0.675439,0.759207,0.948882,0.681818,0.943347,0.045455,0.532787,0.803468,0.527157,0.986381,0.495413,0.000000,0.616000,0.864516,0.874816,0.705882,0.889441,0.080000,0.442177,0.763736,0.793269
7,warmup,0.860645,0.628039,0.977948,0.476190,0.037736,0.625954,0.820919,0.926847,0.751592,0.911327,0.060606,0.465649,0.773810,0.707889,0.964083,0.419580,0.034483,0.598540,0.806854,0.934831,0.819444,0.951351,0.048780,0.530435,0.844156,0.636015,0.992218,0.550459,0.041667,0.656000,0.835484,0.918999,0.694118,0.874534,0.080000,0.414966,0.714286,0.798077
8,warmup,0.857240,0.636556,0.984451,0.465649,0.135593,0.626335,0.801272,0.919592,0.769231,0.910134,0.072727,0.484127,0.797619,0.671937,0.983495,0.398693,0.114286,0.564103,0.789969,0.943455,0.845070,0.934555,0.066667,0.580952,0.870130,0.570470,0.985409,0.559633,0.166667,0.704000,0.812903,0.896907,0.705882,0.886957,0.080000,0.414966,0.736264,0.817308
9,warmup,0.873355,0.654392,0.980298,0.504000,0.103448,0.655738,0.817629,0.932529,0.774194,0.922593,0.060606,0.543307,0.807799,0.750562,0.968661,0.446809,0.088235,0.672269,0.772989,0.955212,0.857143,0.934949,0.048780,0.644860,0.819209,0.704641,0.992218,0.577982,0.125000,0.640000,0.867742,0.910898,0.705882,0.910559,0.080000,0.469388,0.796703,0.802885
10,warmup,0.880390,0.662010,0.977523,0.511013,0.115385,0.620209,0.829047,0.936154,0.789474,0.922103,0.040816,0.578947,0.812500,0.810945,0.961430,0.491525,0.107143,0.549383,0.780627,0.943862,0.895522,0.940568,0.041667,0.647059,0.841176,0.840206,0.994163,0.532110,0.125000,0.712000,0.883871,0.928571,0.705882,0.904348,0.040000,0.523810,0.785714,0.783654
11,warmup,0.878802,0.665277,0.979376,0.496241,0.081633,0.647541,0.846154,0.933832,0.802469,0.924174,0.065574,0.632302,0.817143,0.756881,0.965941,0.420382,0.080000,0.663866,0.808824,0.948368,0.844156,0.966125,0.055556,0.638889,0.851190,0.723684,0.993191,0.605505,0.083333,0.632000,0.887097,0.919735,0.764706,0.885714,0.080000,0.625850,0.785714,0.793269
12,warmup,0.885157,0.683166,0.982186,0.523605,0.133333,0.669421,0.826220,0.940392,0.810127,0.910496,0.098361,0.681818,0.824859,0.797170,0.972355,0.491935,0.142857,0.692308,0.783237,0.945644,0.876712,0.945187,0.083333,0.652174,0.848837,0.782407,0.992218,0.559633,0.125000,0.648000,0.874194,0.935199,0.752941,0.878261,0.120000,0.714286,0.802198,0.812500
13,warmup,0.885384,0.683389,0.984526,0.538153,0.163265,0.697872,0.840310,0.938336,0.792208,0.922392,0.105263,0.652482,0.815864,0.750000,0.978846,0.478571,0.160000,0.745455,0.808955,0.946777,0.884058,0.945241,0.093750,0.681481,0.842105,0.689516,0.990272,0.614679,0.166667,0.656000,0.874194,0.930044,0.717647,0.900621,0.120000,0.625850,0.791209,0.822115
14,warmup,0.891285,0.688985,0.983100,0.548387,0.153846,0.672065,0.846875,0.944991,0.802548,0.926671,0.101695,0.666667,0.822857,0.798122,0.976031,0.489209,0.142857,0.680328,0.821212,0.935112,0.875000,0.970109,0.088235,0.713178,0.857143,0.779817,0.990272,0.623853,0.166667,0.664000,0.874194,0.955081,0.741176,0.886957,0.120000,0.625850,0.791209,0.817308
15,warmup,0.898547,0.696406,0.985943,0.556522,0.150943,0.697095,0.858476,0.948841,0.789809,0.936518,0.103448,0.700361,0.825215,0.803695,0.982609,0.528926,0.137931,0.724138,0.828829,0.948492,0.861111,0.947837,0.090909,0.746154,0.862275,0.773333,0.989300,0.587156,0.166667,0.672000,0.890323,0.949190,0.729412,0.925466,0.120000,0.659864,0.791209,0.836538
16,warmup,0.888788,0.699466,0.982642,0.543860,0.240000,0.680000,0.839506,0.938897,0.805195,0.919160,0.135593,0.679612,0.834734,0.794393,0.974187,0.521008,0.230769,0.680000,0.804734,0.950226,0.898551,0.942559,0.117647,0.648148,0.851429,0.772727,0.991245,0.568807,0.250000,0.680000,0.877419,0.927835,0.729412,0.896894,0.160000,0.714286,0.818681,0.817308
17,warmup,0.894916,0.689914,0.987366,0.578313,0.127660,0.672065,0.858075,0.939715,0.805031,0.925127,0.042553,0.705426,0.844687,0.792952,0.986408,0.514286,0.130435,0.680328,0.867987,0.932560,0.864865,0.945525,0.045455,0.819820,0.837838,0.731707,0.988327,0.660550,0.125000,0.664000,0.848387,0.946981,0.752941,0.905590,0.040000,0.619048,0.851648,0.865385
18,warmup,0.897413,0.708894,0.985031,0.561702,0.188679,0.692641,0.844937,0.947905,0.827160,0.931877,0.193548,0.715719,0.803571,0.813953,0.977948,0.523810,0.172414,0.754717,0.829193,0.937996,0.870130,0.965379,0.162162,0.703947,0.876623,0.788288,0.992218,0.605505,0.208333,0.640000,0.861290,0.958027,0.788235,0.900621,0.240000,0.727891,0.741758,0.841346
19,warmup,0.899228,0.702709,0.986381,0.554622,0.244898,0.689956,0.840945,0.949510,0.797619,0.934363,0.072727,0.694737,0.840970,0.825776,0.986381,0.511628,0.240000,0.759615,0.821538,0.936918,0.807229,0.969292,0.066667,0.717391,0.825397,0.819905,0.986381,0.605505,0.250000,0.632000,0.861290,0.962445,0.788235,0.901863,0.080000,0.673469,0.857143,0.831731
20,warmup,0.899682,0.697973,0.984112,0.559055,0.150943,0.700461,0.839879,0.954082,0.815789,0.929541,0.090909,0.684932,0.823864,0.842105,0.974261,0.489655,0.137931,0.826087,0.789773,0.944444,0.925373,0.969003,0.105263,0.689655,0.852941,0.838095,0.994163,0.651376,0.166667,0.608000,0.896774,0.963918,0.729412,0.893168,0.080000,0.680272,0.796703,0.846154
21,phase2,0.904448,0.718045,0.987882,0.569038,0.222222,0.690265,0.850794,0.953890,0.819876,0.938224,0.181818,0.736111,0.822823,0.843602,0.984541,0.523077,0.200000,0.772277,0.837500,0.933709,0.868421,0.973298,0.146341,0.751773,0.907285,0.831776,0.991245,0.623853,0.250000,0.624000,0.864516,0.974963,0.776471,0.905590,0.240000,0.721088,0.752747,0.855769
22,phase2,0.907626,0.720378,0.988851,0.577586,0.259259,0.714286,0.862016,0.956239,0.822785,0.941252,0.133333,0.731034,0.826979,0.830918,0.985507,0.544715,0.233333,0.808081,0.829851,0.939588,0.890411,0.968463,0.114286,0.741259,0.886792,0.834951,0.992218,0.614679,0.291667,0.640000,0.896774,0.973490,0.764706,0.915528,0.160000,0.721088,0.774725,0.826923
23,phase2,0.906718,0.725250,0.988840,0.568966,0.217391,0.718615,0.864434,0.955170,0.820513,0.936170,0.235294,0.728477,0.838150,0.830986,0.986447,0.536585,0.227273,0.783019,0.854890,0.938210,0.901408,0.973190,0.186047,0.709677,0.884146,0.811927,0.991245,0.605505,0.208333,0.664000,0.874194,0.972754,0.752941,0.901863,0.320000,0.748299,0.796703,0.850962
24,phase2,0.901952,0.701687,0.989840,0.535565,0.111111,0.714286,0.848875,0.957024,0.834437,0.935401,0.173913,0.678788,0.810811,0.830189,0.984601,0.492308,0.166667,0.808081,0.846154,0.939050,0.954545,0.974428,0.136364,0.612022,0.894040,0.814815,0.995136,0.587156,0.083333,0.640000,0.851613,0.975700,0.741176,0.899379,0.240000,0.761905,0.741758,0.846154
25,phase2,0.906718,0.713304,0.989850,0.545455,0.260870,0.703863,0.850077,0.961860,0.823529,0.938065,0.107143,0.703947,0.832370,0.842615,0.983670,0.496241,0.272727,0.759259,0.816024,0.949104,0.926471,0.975839,0.096774,0.681529,0.878049,0.848780,0.996109,0.605505,0.250000,0.656000,0.887097,0.974963,0.741176,0.903106,0.120000,0.727891,0.791209,0.836538
26,phase2,0.905810,0.715997,0.991760,0.578313,0.181818,0.708520,0.847896,0.958485,0.827160,0.944942,0.203390,0.701107,0.820513,0.828054,0.988406,0.514286,0.142857,0.806122,0.850649,0.948127,0.870130,0.974901,0.176471,0.766129,0.852071,0.782051,0.995136,0.660550,0.250000,0.632000,0.845161,0.969072,0.788235,0.916770,0.240000,0.646259,0.791209,0.879808
27,phase2,0.909669,0.722570,0.992248,0.528139,0.250000,0.692641,0.856693,0.958696,0.805195,0.941927,0.222222,0.709459,0.846797,0.866828,0.988417,0.500000,0.250000,0.754717,0.836923,0.943652,0.898551,0.968504,0.206897,0.704698,0.858757,0.873171,0.996109,0.559633,0.250000,0.640000,0.877419,0.974227,0.729412,0.916770,0.240000,0.714286,0.835165,0.860577
28,phase2,0.910123,0.726307,0.992241,0.557522,0.264706,0.694915,0.863924,0.959942,0.813333,0.946168,0.222222,0.728571,0.827586,0.844548,0.989362,0.538462,0.204545,0.738739,0.847826,0.949568,0.938462,0.965116,0.206897,0.766917,0.867470,0.816143,0.995136,0.577982,0.375000,0.656000,0.880645,0.970545,0.717647,0.927950,0.240000,0.693878,0.791209,0.875000
29,phase2,0.911030,0.721728,0.991760,0.546939,0.280000,0.666667,0.875981,0.959479,0.815789,0.951777,0.178571,0.735395,0.810345,0.848039,0.988406,0.492647,0.269231,0.762887,0.853211,0.943101,0.925373,0.972763,0.161290,0.743056,0.849398,0.865000,0.995136,0.614679,0.291667,0.592000,0.900000,0.976436,0.729412,0.931677,0.200000,0.727891,0.774725,0.831731
30,phase2,0.912392,0.728989,0.990817,0.553191,0.258065,0.675676,0.876755,0.960763,0.825806,0.944131,0.203390,0.743056,0.843931,0.872289,0.984630,0.515873,0.210526,0.773196,0.848943,0.956903,0.914286,0.954315,0.176471,0.758865,0.890244,0.874396,0.997082,0.596330,0.333333,0.600000,0.906452,0.964654,0.752941,0.934161,0.240000,0.727891,0.802198,0.870192
31,phase2,0.917385,0.735870,0.993210,0.575000,0.260870,0.718615,0.877583,0.959971,0.817610,0.948309,0.192308,0.753333,0.846377,0.887255,0.990329,0.526718,0.272727,0.783019,0.865204,0.940636,0.878378,0.975066,0.185185,0.738562,0.895706,0.905000,0.996109,0.633028,0.250000,0.664000,0.890323,0.980118,0.764706,0.922981,0.200000,0.768707,0.802198,0.870192
32,phase2,0.915343,0.734626,0.992729,0.573840,0.264151,0.719298,0.874214,0.960378,0.822785,0.945293,0.196078,0.753333,0.851429,0.861985,0.989372,0.531250,0.241379,0.796117,0.852761,0.948313,0.890411,0.968709,0.192308,0.738562,0.886905,0.868293,0.996109,0.623853,0.291667,0.656000,0.896774,0.972754,0.764706,0.922981,0.200000,0.768707,0.818681,0.855769
33,phase2,0.914435,0.742056,0.992729,0.607595,0.296296,0.689956,0.869841,0.958737,0.802469,0.940193,0.266667,0.751773,0.847059,0.881356,0.989372,0.562500,0.266667,0.759615,0.856250,0.934920,0.844156,0.974667,0.228571,0.785185,0.911392,0.887805,0.996109,0.660550,0.333333,0.632000,0.883871,0.983800,0.764706,0.908075,0.320000,0.721088,0.791209,0.875000
34,phase2,0.918066,0.750575,0.991760,0.609091,0.321429,0.728745,0.865533,0.962509,0.809816,0.946100,0.290909,0.758123,0.850440,0.872449,0.988406,0.603604,0.281250,0.737705,0.830861,0.942797,0.846154,0.966321,0.266667,0.807692,0.911950,0.929348,0.995136,0.614679,0.375000,0.720000,0.903226,0.983063,0.776471,0.926708,0.320000,0.714286,0.796703,0.822115
35,phase2,0.915116,0.750560,0.993711,0.583333,0.375000,0.690583,0.881141,0.959625,0.819277,0.935401,0.276923,0.760000,0.855491,0.876238,0.988450,0.534351,0.375000,0.785714,0.866044,0.939972,0.839506,0.974428,0.225000,0.745098,0.902439,0.903061,0.999027,0.642202,0.375000,0.616000,0.896774,0.980118,0.800000,0.899379,0.360000,0.775510,0.813187,0.850962
36,phase2,0.914435,0.739996,0.994192,0.561702,0.304348,0.717489,0.880878,0.959799,0.789809,0.937217,0.275862,0.738255,0.856322,0.864078,0.989403,0.523810,0.318182,0.816327,0.856707,0.936275,0.861111,0.978378,0.242424,0.728477,0.897590,0.872549,0.999027,0.605505,0.291667,0.640000,0.906452,0.984536,0.729412,0.899379,0.320000,0.748299,0.818681,0.855769
37,phase2,0.918520,0.747076,0.993711,0.605042,0.297872,0.694561,0.884311,0.962455,0.833333,0.941629,0.258065,0.753731,0.851312,0.888889,0.988450,0.558140,0.304348,0.728070,0.869159,0.944051,0.915493,0.973475,0.216216,0.834711,0.906832,0.857143,0.999027,0.660550,0.291667,0.664000,0.900000,0.981591,0.764706,0.911801,0.320000,0.687075,0.802198,0.923077
38,phase2,0.919655,0.754027,0.995155,0.620690,0.346154,0.718182,0.878740,0.961525,0.837500,0.946154,0.266667,0.755853,0.843658,0.878049,0.991313,0.585366,0.321429,0.831579,0.858462,0.939564,0.893333,0.977483,0.228571,0.743421,0.910828,0.891089,0.999027,0.660550,0.375000,0.632000,0.900000,0.984536,0.788235,0.916770,0.320000,0.768707,0.785714,0.865385
39,phase2,0.921698,0.749232,0.995155,0.599119,0.325581,0.729730,0.884375,0.962379,0.848101,0.942010,0.175439,0.769737,0.863636,0.895522,0.991313,0.576271,0.368421,0.835052,0.857576,0.937195,0.917808,0.978581,0.156250,0.745223,0.894118,0.927835,0.999027,0.623853,0.291667,0.648000,0.912903,0.988954,0.788235,0.908075,0.200000,0.795918,0.835165,0.865385
40,phase2,0.918293,0.749858,0.992750,0.603448,0.304348,0.735426,0.881789,0.959169,0.830409,0.939961,0.254545,0.779661,0.846377,0.870416,0.986551,0.569106,0.318182,0.836735,0.873418,0.933752,0.825581,0.978495,0.233333,0.777027,0.895706,0.885572,0.999027,0.642202,0.291667,0.656000,0.890323,0.986009,0.835294,0.904348,0.280000,0.782313,0.802198,0.855769
41,phase2,0.915116,0.736115,0.995637,0.589744,0.326531,0.702703,0.866044,0.961123,0.840764,0.938961,0.145455,0.740260,0.846154,0.880000,0.992271,0.552000,0.320000,0.804124,0.837349,0.940141,0.916667,0.983673,0.133333,0.708075,0.846154,0.916667,0.999027,0.633028,0.333333,0.624000,0.896774,0.983063,0.776471,0.898137,0.160000,0.775510,0.846154,0.846154
42,phase2,0.925556,0.765729,0.994673,0.627273,0.347826,0.740088,0.892063,0.962487,0.862500,0.946624,0.266667,0.784053,0.861272,0.903226,0.990357,0.621622,0.363636,0.823529,0.878125,0.934768,0.920000,0.981333,0.228571,0.766234,0.908537,0.933333,0.999027,0.633028,0.333333,0.672000,0.906452,0.991900,0.811765,0.914286,0.320000,0.802721,0.818681,0.875000
43,phase2,0.925329,0.768775,0.994673,0.611872,0.340426,0.739130,0.872274,0.967858,0.872727,0.949391,0.363636,0.746753,0.869318,0.897243,0.990357,0.609091,0.347826,0.809524,0.843373,0.949681,0.900000,0.980159,0.333333,0.714286,0.900000,0.937173,0.999027,0.614679,0.333333,0.680000,0.903226,0.986745,0.847059,0.920497,0.400000,0.782313,0.840659,0.860577
44,phase2,0.924648,0.768815,0.994197,0.663636,0.400000,0.729614,0.876755,0.969109,0.878981,0.943226,0.280702,0.741722,0.861190,0.886650,0.988462,0.657658,0.384615,0.787037,0.848943,0.946003,0.958333,0.981208,0.250000,0.722581,0.888889,0.931217,1.000000,0.669725,0.416667,0.680000,0.906452,0.993373,0.811765,0.908075,0.320000,0.761905,0.835165,0.846154
45,phase2,0.926918,0.764334,0.993711,0.631068,0.340426,0.734177,0.891271,0.972895,0.850000,0.948375,0.321429,0.746753,0.839650,0.902256,0.988450,0.670103,0.347826,0.776786,0.848397,0.955287,0.906667,0.973822,0.290323,0.714286,0.894410,0.942408,0.999027,0.596330,0.333333,0.696000,0.938710,0.991163,0.800000,0.924224,0.360000,0.782313,0.791209,0.865385
46,phase2,0.928053,0.772243,0.991791,0.624434,0.409091,0.731092,0.880368,0.975027,0.851613,0.946154,0.326531,0.750000,0.875346,0.905473,0.984660,0.616071,0.450000,0.769912,0.839181,0.958719,0.942857,0.977483,0.333333,0.744966,0.882682,0.938144,0.999027,0.633028,0.375000,0.696000,0.925806,0.991900,0.776471,0.916770,0.320000,0.755102,0.868132,0.875000
47,phase2,0.929641,0.779665,0.993230,0.663636,0.416667,0.751092,0.884735,0.973875,0.825000,0.954198,0.380952,0.755102,0.848837,0.908654,0.987500,0.657658,0.416667,0.826923,0.855422,0.959943,0.880000,0.977836,0.315789,0.755102,0.901235,0.908654,0.999027,0.669725,0.416667,0.688000,0.916129,0.988218,0.776471,0.931677,0.480000,0.755102,0.802198,0.908654
48,phase2,0.927145,0.757588,0.993230,0.623853,0.291667,0.736402,0.889236,0.973799,0.809816,0.956740,0.333333,0.757895,0.830861,0.894231,0.987500,0.623853,0.291667,0.771930,0.861027,0.962590,0.846154,0.965823,0.310345,0.782609,0.903226,0.894231,0.999027,0.623853,0.291667,0.704000,0.919355,0.985272,0.776471,0.947826,0.360000,0.734694,0.769231,0.894231
49,phase2,0.930776,0.777685,0.994192,0.648649,0.347826,0.744589,0.890263,0.973247,0.802548,0.956853,0.440678,0.762542,0.850440,0.920398,0.989403,0.637168,0.363636,0.811321,0.854599,0.955966,0.875000,0.977951,0.382353,0.750000,0.911950,0.953608,0.999027,0.660550,0.333333,0.688000,0.929032,0.991163,0.741176,0.936646,0.520000,0.775510,0.796703,0.889423
50,phase2,0.932592,0.785903,0.993711,0.669604,0.391304,0.765766,0.888889,0.973656,0.825000,0.954140,0.413793,0.777027,0.860465,0.917476,0.988450,0.644068,0.409091,0.876289,0.863222,0.954706,0.880000,0.979085,0.363636,0.771812,0.913580,0.926471,0.999027,0.697248,0.375000,0.680000,0.916129,0.993373,0.776471,0.930435,0.480000,0.782313,0.813187,0.908654
